anio,mes,region,prov,EOLICO,energia_gen
2014,3,7,8,True,2.6
2014,3,7,8,True,4.6
2014,3,8,3,True,2.5
2014,3,8,3,True,16.6
2014,3,0,0,True,0.0
2014,3,8,3,True,15.9
2014,3,8,3,True,9.7
2014,3,8,3,True,0.5
2014,4,7,8,True,2.7
2014,4,7,8,True,5.0
2014,4,8,3,True,1.9
2014,4,8,3,True,15.3
2014,4,0,0,True,0.0
2014,4,8,3,True,13.5
2014,4,8,3,True,8.2
2014,4,8,3,True,0.3
2014,5,7,8,True,2.3
2014,5,7,8,True,3.5
2014,5,8,3,True,2.4
2014,5,8,3,True,14.6
2014,5,0,0,True,0.0
2014,5,8,3,True,13.2
2014,5,8,3,True,8.3
2014,5,8,3,True,0.5
2014,6,7,8,True,2.2
2014,6,7,8,True,4.0
2014,6,8,3,True,2.5
2014,6,8,3,True,14.5
2014,6,0,0,True,0.0
2014,6,8,3,True,13.4
2014,6,8,3,True,8.1
2014,6,8,3,True,0.7
2014,7,7,8,True,2.1
2014,7,7,8,True,3.4
2014,7,8,3,True,2.4
2014,7,8,3,True,15.4
2014,7,0,0,True,0.0
2014,7,8,3,True,14.0
2014,7,8,3,True,8.3
2014,7,8,3,True,1.0
2014,8,7,8,True,2.7
2014,8,7,8,True,4.4
2014,8,8,3,True,2.4
2014,8,8,3,True,17.9
2014,8,0,0,True,0.0
2014,8,8,3,True,17.9
2014,8,8,3,True,10.7
2014,8,8,3,True,0.4
2014,9,7,8,True,3.8
2014,9,7,8,True,6.5
2014,9,8,3,True,2.3
2014,9,8,3,True,16.8
2014,9,0,0,True,0.0
2014,9,8,3,True,17.3
2014,9,8,3,True,10.4
2014,9,8,3,True,0.5
2014,10,7,8,True,3.8
2014,10,7,8,True,6.4
2014,10,8,3,True,2.4
2014,10,8,3,True,14.5
2014,10,0,0,True,0.0
2014,10,8,3,True,14.1
2014,10,8,3,True,8.6
2014,10,8,3,True,0.5
2014,11,7,8,True,3.8
2014,11,7,8,True,6.8
2014,11,8,3,True,2.7
2014,11,8,3,True,16.9
2014,11,0,0,True,0.0
2014,11,8,3,True,16.6
2014,11,8,3,True,10.0
2014,11,8,3,True,0.5
2014,12,7,8,True,4.2
2014,12,7,8,True,7.6
2014,12,8,3,True,2.6
2014,12,8,3,True,15.1
2014,12,0,0,True,0.0
2014,12,8,3,True,16.6
2014,12,8,3,True,10.0
2014,12,8,3,True,0.5
2015,1,7,8,True,2.9
2015,1,7,8,True,4.4
2015,1,8,3,True,2.2
2015,1,8,3,True,15.7
2015,1,0,0,True,0.0
2015,1,8,3,True,16.2
2015,1,8,3,True,10.0
2015,1,8,3,True,0.3
2015,2,7,8,True,2.6
2015,2,7,8,True,4.1
2015,2,8,3,True,1.8
2015,2,8,3,True,13.4
2015,2,0,0,True,0.0
2015,2,8,3,True,12.6
2015,2,8,3,True,8.1
2015,2,8,3,True,0.2
2015,3,7,8,True,3.0
2015,3,7,8,True,4.2
2015,3,8,3,True,2.5
2015,3,8,3,True,12.5
2015,3,0,0,True,0.0
2015,3,8,3,True,11.6
2015,3,8,3,True,7.4
2015,3,8,3,True,0.3
2015,4,7,8,True,2.3
2015,4,7,8,True,3.7
2015,4,8,3,True,1.9
2015,4,8,3,True,14.6
2015,4,0,0,True,0.0
2015,4,8,3,True,13.3
2015,4,8,3,True,8.5
2015,4,8,3,True,0.2
2015,5,7,8,True,1.9
2015,5,7,8,True,3.2
2015,5,8,3,True,2.4
2015,5,8,3,True,16.3
2015,5,0,0,True,0.0
2015,5,8,3,True,14.9
2015,5,8,3,True,9.2
2015,5,8,3,True,0.4
2015,6,7,8,True,1.8
2015,6,7,8,True,2.8
2015,6,8,3,True,2.4
2015,6,8,3,True,18.3
2015,6,0,0,True,0.0
2015,6,8,3,True,18.6
2015,6,8,3,True,11.1
2015,6,8,3,True,0.3
2015,7,7,8,True,1.8
2015,7,7,8,True,3.2
2015,7,8,3,True,2.7
2015,7,8,3,True,17.3
2015,7,0,0,True,0.0
2015,7,8,3,True,16.7
2015,7,8,3,True,10.5
2015,7,8,3,True,0.6
2015,8,7,8,True,2.8
2015,8,7,8,True,4.9
2015,8,8,3,True,1.8
2015,8,8,3,True,16.7
2015,8,0,0,True,0.0
2015,8,8,3,True,15.3
2015,8,8,3,True,9.8
2015,8,8,3,True,0.7
2015,9,7,8,True,3.7
2015,9,7,8,True,6.5
2015,9,8,3,True,2.1
2015,9,8,3,True,14.3
2015,9,0,0,True,0.0
2015,9,8,3,True,13.5
2015,9,8,3,True,8.5
2015,9,8,3,True,0.5
2015,10,7,8,True,4.4
2015,10,7,8,True,7.8
2015,10,8,3,True,2.0
2015,10,8,3,True,14.6
2015,10,0,0,True,0.0
2015,10,8,3,True,14.6
2015,10,8,3,True,9.0
2015,10,8,3,True,0.4
2015,11,7,8,True,3.9
2015,11,7,8,True,6.4
2015,11,8,3,True,2.1
2015,11,8,3,True,13.0
2015,11,0,0,True,0.0
2015,11,8,3,True,12.5
2015,11,8,3,True,7.9
2015,11,8,3,True,0.4
2015,12,7,8,True,3.6
2015,12,7,8,True,6.2
