anio,mes,region,prov,SOLAR,energia_gen
2015,4,3,14,True,0.2
2015,5,3,14,True,0.2
2015,5,3,14,True,0.3
2015,5,3,14,True,0.4
2015,5,3,14,True,0.0
2015,5,3,14,True,0.2
2015,6,3,14,True,0.2
2015,6,3,14,True,0.2
2015,6,3,14,True,0.4
2015,6,3,14,True,0.0
2015,6,3,14,True,0.1
2015,7,3,14,True,0.2
2015,7,3,14,True,0.3
2015,7,3,14,True,0.4
2015,7,3,14,True,0.0
2015,7,3,14,True,0.2
2015,8,3,14,True,0.2
2015,8,3,14,True,0.3
2015,8,3,14,True,0.4
2015,8,3,14,True,0.0
2015,8,3,14,True,0.2
2015,9,3,14,True,0.3
2015,9,3,14,True,0.3
2015,9,3,14,True,0.5
2015,9,3,14,True,0.0
2015,9,3,14,True,0.2
2015,10,3,14,True,0.3
2015,10,3,14,True,0.3
2015,10,3,14,True,0.4
2015,10,3,14,True,0.0
2015,10,3,14,True,0.2
2015,11,3,14,True,0.3
2015,11,3,14,True,0.3
2015,11,3,14,True,0.5
2015,11,3,14,True,0.0
2015,11,3,14,True,0.2
2015,12,3,14,True,0.3
2015,12,3,14,True,0.4
2015,12,3,14,True,0.5
2015,12,3,14,True,0.0
2015,12,3,14,True,0.2
2016,1,3,14,True,0.3
2016,1,3,14,True,0.3
2016,1,3,14,True,0.5
2016,1,3,14,True,0.0
2016,1,3,14,True,0.2
2016,2,3,14,True,0.3
2016,2,3,14,True,0.3
2016,2,3,14,True,0.5
2016,2,3,14,True,0.0
2016,2,3,14,True,0.2
2016,3,3,14,True,0.3
2016,3,3,14,True,0.3
2016,3,3,14,True,0.5
2016,3,3,14,True,0.0
2016,3,3,14,True,0.2
2016,4,3,14,True,0.2
2016,4,3,14,True,0.2
2016,4,3,14,True,0.3
2016,4,3,14,True,0.0
2016,4,3,14,True,0.1
2016,5,3,14,True,0.1
2016,5,3,14,True,0.1
2016,5,3,14,True,0.2
2016,5,3,14,True,0.0
2016,5,3,14,True,0.1
2016,6,3,14,True,0.2
2016,6,3,14,True,0.2
2016,6,3,14,True,0.3
2016,6,3,14,True,0.0
2016,6,3,14,True,0.1
2016,7,3,14,True,0.3
2016,7,3,14,True,0.3
2016,7,3,14,True,0.4
2016,7,3,14,True,0.0
2016,7,3,14,True,0.2
