anio,mes,region,prov,BIOMASA,energia_gen
2014,12,7,13,True,5.5
2015,1,7,19,True,0.0
2015,1,0,0,True,0.0
2015,1,7,19,True,0.0
2015,1,6,10,True,1.0
2015,1,7,13,True,4.3
2015,2,7,19,True,0.0
2015,2,0,0,True,0.0
2015,2,7,19,True,0.0
2015,2,6,10,True,1.5
2015,2,7,13,True,3.1
2015,3,7,19,True,0.0
2015,3,0,0,True,0.0
2015,3,7,19,True,0.0
2015,3,6,10,True,1.6
2015,3,7,13,True,14.4
2015,4,7,19,True,0.0
2015,4,0,0,True,0.0
2015,4,7,19,True,0.0
2015,4,6,10,True,0.4
2015,4,7,13,True,19.1
2015,5,7,19,True,0.0
2015,5,0,0,True,0.0
2015,5,7,19,True,0.0
2015,5,6,10,True,5.2
2015,5,7,13,True,3.5
2015,6,7,19,True,0.0
2015,6,0,0,True,0.0
2015,6,7,19,True,1.9
2015,6,6,10,True,5.3
2015,6,7,13,True,11.3
2015,7,7,19,True,3.6
2015,7,0,0,True,0.0
2015,7,7,19,True,2.4
2015,7,6,10,True,3.7
2015,7,7,13,True,15.0
2015,8,7,19,True,1.8
2015,8,0,0,True,0.0
2015,8,7,19,True,0.7
2015,8,6,10,True,6.0
2015,8,7,13,True,13.8
2015,9,7,19,True,2.1
2015,9,0,0,True,0.0
2015,9,7,19,True,2.2
2015,9,6,10,True,6.0
2015,9,7,13,True,12.9
2015,10,7,19,True,3.3
2015,10,0,0,True,0.0
2015,10,7,19,True,1.9
2015,10,6,10,True,3.7
2015,10,7,13,True,15.6
2015,11,7,19,True,0.5
2015,11,0,0,True,0.0
2015,11,7,19,True,0.0
2015,11,6,10,True,4.7
2015,11,7,13,True,10.8
2015,12,7,19,True,0.0
2015,12,0,0,True,0.1
2015,12,7,19,True,0.0
2015,12,6,10,True,4.9
2015,12,7,13,True,6.8
2016,1,7,19,True,0.0
2016,1,0,0,True,0.2
2016,1,7,19,True,0.0
2016,1,6,10,True,4.6
2016,1,7,13,True,16.2
2016,2,7,19,True,0.0
2016,2,0,0,True,0.0
2016,2,7,19,True,0.0
2016,2,6,10,True,4.7
2016,2,7,13,True,15.4
2016,3,7,19,True,0.0
2016,3,0,0,True,0.0
2016,3,7,19,True,0.0
2016,3,6,10,True,5.2
2016,3,7,13,True,18.4
2016,4,7,19,True,0.0
2016,4,0,0,True,0.0
2016,4,7,19,True,0.0
2016,4,6,10,True,4.7
2016,4,7,13,True,5.1
2016,5,7,19,True,0.0
2016,5,0,0,True,0.0
